month,entry_time,exit_time,symbol,direction,entry_price,result,realized_R,net_pips,gross_pips,duration_minutes,duration,aggression_mode,score,reason_code,gaspar_p_deteriorating,melchor_signal,decision_id,split
2020-03,2020-03-12T14:05:00Z,2020-03-12T14:10:00Z,EURUSD,SELL,1.12466,LOSS,-1.249685,-12.49685,-10.0,5.0,5m,cautious,0.220095,score_cautious,0.170455,APPROVE,EURUSD-2020-03-12T14:05:00Z-000165,train
2020-03,2020-03-12T14:10:00Z,2020-03-12T14:20:00Z,EURUSD,SELL,1.12461,WIN,1.737681,17.37681,20.0,10.0,10m,premium,0.41649,score_premium,0.171424,APPROVE,EURUSD-2020-03-12T14:10:00Z-000166,train
2020-03,2020-03-12T14:20:00Z,2020-03-12T14:30:00Z,EURUSD,SELL,1.12257,LOSS,-1.289888,-12.89888,-10.0,10.0,10m,cautious,0.251433,score_cautious,0.090033,APPROVE,EURUSD-2020-03-12T14:20:00Z-000167,train
2020-03,2020-03-12T14:30:00Z,2020-03-12T14:50:00Z,EURUSD,BUY,1.12138,LOSS,-1.289683,-12.89683,-10.0,20.0,20m,cautious,0.245719,score_cautious,0.181955,APPROVE,EURUSD-2020-03-12T14:30:00Z-000168,train
2020-03,2020-03-12T14:50:00Z,2020-03-12T14:55:00Z,EURUSD,SELL,1.12703,LOSS,-1.257979,-12.57979,-10.0,5.0,5m,cautious,0.294057,score_cautious,0.107555,APPROVE,EURUSD-2020-03-12T14:50:00Z-000169,train
2020-03,2020-03-12T14:55:00Z,2020-03-12T15:00:00Z,EURUSD,SELL,1.12502,WIN,1.753006,17.53006,20.0,5.0,5m,normal,0.334,score_normal,0.226517,APPROVE,EURUSD-2020-03-12T14:55:00Z-000170,train
2020-03,2020-03-12T17:00:00Z,2020-03-12T17:10:00Z,EURUSD,SELL,1.11448,WIN,1.651997,16.51997,20.0,10.0,10m,normal,0.390558,score_normal,0.183538,APPROVE,EURUSD-2020-03-12T17:00:00Z-000171,train
2020-03,2020-03-12T17:35:00Z,2020-03-12T17:40:00Z,EURUSD,SELL,1.11248,WIN,1.771509,17.71509,20.0,5.0,5m,cautious,0.299731,score_cautious,0.235304,APPROVE,EURUSD-2020-03-12T17:35:00Z-000175,train
2020-03,2020-03-12T17:40:00Z,2020-03-12T17:45:00Z,EURUSD,SELL,1.11097,WIN,1.626508,16.26508,20.0,5.0,5m,normal,0.325036,score_normal,0.211219,APPROVE,EURUSD-2020-03-12T17:40:00Z-000176,train
2020-03,2020-03-12T17:50:00Z,2020-03-12T18:00:00Z,EURUSD,SELL,1.11024,WIN,1.709275,17.09275,20.0,10.0,10m,cautious,0.237344,score_cautious,0.324213,APPROVE,EURUSD-2020-03-12T17:50:00Z-000178,train
2020-03,2020-03-12T18:15:00Z,2020-03-12T18:35:00Z,EURUSD,BUY,1.10666,WIN,1.684637,16.84637,20.0,20.0,20m,normal,0.320839,score_normal,0.315567,APPROVE,EURUSD-2020-03-12T18:15:00Z-000181,train
2020-03,2020-03-13T07:35:00Z,2020-03-13T08:15:00Z,EURUSD,SELL,1.11989,LOSS,-1.267023,-12.67023,-10.0,40.0,40m,cautious,0.2685,score_cautious,0.111977,APPROVE,EURUSD-2020-03-13T07:35:00Z-000198,train
2020-03,2020-03-13T08:15:00Z,2020-03-13T09:25:00Z,EURUSD,SELL,1.12062,WIN,1.633772,16.33772,20.0,70.0,1h 10m,premium,0.500642,score_premium,0.107883,APPROVE,EURUSD-2020-03-13T08:15:00Z-000199,train
2020-03,2020-03-13T09:25:00Z,2020-03-13T09:35:00Z,EURUSD,SELL,1.11731,LOSS,-1.263847,-12.63847,-10.0,10.0,10m,cautious,0.262277,score_cautious,0.13513,APPROVE,EURUSD-2020-03-13T09:25:00Z-000200,train
2020-03,2020-03-13T09:35:00Z,2020-03-13T09:50:00Z,EURUSD,SELL,1.11883,WIN,1.669352,16.69352,20.0,15.0,15m,normal,0.380184,score_normal,0.253504,APPROVE,EURUSD-2020-03-13T09:35:00Z-000201,train
2020-03,2020-03-13T09:50:00Z,2020-03-13T10:00:00Z,EURUSD,SELL,1.11698,LOSS,-1.247693,-12.47693,-10.0,10.0,10m,cautious,0.249048,score_cautious,0.156104,APPROVE,EURUSD-2020-03-13T09:50:00Z-000202,train
2020-03,2020-03-13T10:15:00Z,2020-03-13T10:45:00Z,EURUSD,SELL,1.1194,LOSS,-1.300768,-13.00768,-10.0,30.0,30m,cautious,0.235552,score_cautious,0.17339,APPROVE,EURUSD-2020-03-13T10:15:00Z-000205,train
2020-03,2020-03-13T10:45:00Z,2020-03-13T11:25:00Z,EURUSD,SELL,1.12046,WIN,1.762509,17.62509,20.0,40.0,40m,premium,0.431407,score_premium,0.126449,APPROVE,EURUSD-2020-03-13T10:45:00Z-000206,train
2020-03,2020-03-13T11:25:00Z,2020-03-13T11:55:00Z,EURUSD,SELL,1.11853,WIN,1.726,17.26,20.0,30.0,30m,premium,0.427429,score_premium,0.10138,APPROVE,EURUSD-2020-03-13T11:25:00Z-000207,train
2020-03,2020-03-13T11:55:00Z,2020-03-13T13:15:00Z,EURUSD,SELL,1.11683,WIN,1.70512,17.0512,20.0,80.0,1h 20m,premium,0.438358,score_premium,0.129524,APPROVE,EURUSD-2020-03-13T11:55:00Z-000208,train
2020-03,2020-03-13T14:10:00Z,2020-03-13T14:35:00Z,EURUSD,SELL,1.11633,WIN,1.792259,17.92259,20.0,25.0,25m,normal,0.301332,score_normal,0.117628,APPROVE,EURUSD-2020-03-13T14:10:00Z-000210,train
2020-03,2020-03-13T14:35:00Z,2020-03-13T14:55:00Z,EURUSD,SELL,1.11465,WIN,1.754966,17.54966,20.0,20.0,20m,normal,0.301632,score_normal,0.111818,APPROVE,EURUSD-2020-03-13T14:35:00Z-000211,train
2020-03,2020-03-13T18:25:00Z,2020-03-13T18:40:00Z,EURUSD,SELL,1.108,WIN,1.699456,16.99456,20.0,15.0,15m,cautious,0.208712,score_cautious,0.420774,APPROVE,EURUSD-2020-03-13T18:25:00Z-000216,train
2020-03,2020-03-17T08:30:00Z,2020-03-17T09:05:00Z,EURUSD,SELL,1.11718,WIN,1.80086,18.0086,20.0,35.0,35m,premium,0.408249,score_premium,0.333989,APPROVE,EURUSD-2020-03-17T08:30:00Z-000228,train
2020-03,2020-03-17T09:05:00Z,2020-03-17T09:45:00Z,EURUSD,SELL,1.11501,WIN,1.758204,17.58204,20.0,40.0,40m,premium,0.502708,score_premium,0.213869,APPROVE,EURUSD-2020-03-17T09:05:00Z-000229,train
2020-03,2020-03-17T11:40:00Z,2020-03-17T12:00:00Z,EURUSD,SELL,1.11126,WIN,1.713642,17.13642,20.0,20.0,20m,premium,0.446531,score_premium,0.235634,APPROVE,EURUSD-2020-03-17T11:40:00Z-000232,train
2020-03,2020-03-17T12:00:00Z,2020-03-17T12:25:00Z,EURUSD,SELL,1.10938,WIN,1.80136,18.0136,20.0,25.0,25m,premium,0.419023,score_premium,0.263549,APPROVE,EURUSD-2020-03-17T12:00:00Z-000233,train
2020-03,2020-03-17T12:25:00Z,2020-03-17T12:50:00Z,EURUSD,SELL,1.10653,WIN,1.652355,16.52355,20.0,25.0,25m,premium,0.452685,score_premium,0.205746,APPROVE,EURUSD-2020-03-17T12:25:00Z-000234,train
2020-03,2020-03-17T12:50:00Z,2020-03-17T13:10:00Z,EURUSD,SELL,1.10414,WIN,1.684644,16.84644,20.0,20.0,20m,premium,0.462719,score_premium,0.20459,APPROVE,EURUSD-2020-03-17T12:50:00Z-000235,train
2020-03,2020-03-17T14:00:00Z,2020-03-17T14:30:00Z,EURUSD,SELL,1.10127,WIN,1.698201,16.98201,20.0,30.0,30m,premium,0.502977,score_premium,0.197945,APPROVE,EURUSD-2020-03-17T14:00:00Z-000236,train
2020-03,2020-03-17T14:30:00Z,2020-03-17T14:35:00Z,EURUSD,BUY,1.09865,LOSS,-1.255827,-12.55827,-10.0,5.0,5m,normal,0.306669,score_normal,0.170856,APPROVE,EURUSD-2020-03-17T14:30:00Z-000237,train
2020-03,2020-03-17T14:40:00Z,2020-03-17T15:35:00Z,EURUSD,BUY,1.09771,WIN,1.629101,16.29101,20.0,55.0,55m,premium,0.423246,score_premium,0.300751,APPROVE,EURUSD-2020-03-17T14:40:00Z-000239,train
2020-03,2020-03-17T17:00:00Z,2020-03-17T17:15:00Z,EURUSD,SELL,1.09704,LOSS,-1.230758,-12.30758,-10.0,15.0,15m,normal,0.360545,score_normal,0.195887,APPROVE,EURUSD-2020-03-17T17:00:00Z-000240,train
2020-03,2020-03-17T17:50:00Z,2020-03-17T18:00:00Z,EURUSD,SELL,1.09874,WIN,1.720335,17.20335,20.0,10.0,10m,normal,0.366237,score_normal,0.43522,APPROVE,EURUSD-2020-03-17T17:50:00Z-000242,train
2020-03,2020-03-17T18:00:00Z,2020-03-17T18:30:00Z,EURUSD,BUY,1.09709,WIN,1.692662,16.92662,20.0,30.0,30m,premium,0.646133,score_premium,0.127007,APPROVE,EURUSD-2020-03-17T18:00:00Z-000243,train
2020-03,2020-03-17T18:30:00Z,2020-03-17T18:35:00Z,EURUSD,BUY,1.09854,LOSS,-1.324788,-13.24788,-10.0,5.0,5m,normal,0.30139,score_normal,0.324803,APPROVE,EURUSD-2020-03-17T18:30:00Z-000244,train
2020-03,2020-03-17T18:35:00Z,2020-03-17T19:00:00Z,EURUSD,BUY,1.09745,LOSS,-1.238172,-12.38172,-10.0,25.0,25m,cautious,0.298062,score_cautious,0.325855,APPROVE,EURUSD-2020-03-17T18:35:00Z-000245,train
2020-03,2020-03-17T19:00:00Z,2020-03-17T19:55:00Z,EURUSD,BUY,1.09661,WIN,1.789155,17.89155,20.0,55.0,55m,premium,0.505692,score_premium,0.385263,APPROVE,EURUSD-2020-03-17T19:00:00Z-000246,train
2020-03,2020-03-17T19:55:00Z,2020-03-17T20:25:00Z,EURUSD,BUY,1.0986,WIN,1.759543,17.59543,20.0,30.0,30m,premium,0.4812,score_premium,0.2579,APPROVE,EURUSD-2020-03-17T19:55:00Z-000247,train
2020-03,2020-03-17T21:00:00Z,2020-03-17T21:10:00Z,EURUSD,BUY,1.09996,LOSS,-1.321088,-13.21088,-10.0,10.0,10m,cautious,0.260348,score_cautious,0.271407,APPROVE,EURUSD-2020-03-17T21:00:00Z-000248,train
2020-03,2020-03-17T21:25:00Z,2020-03-17T21:40:00Z,EURUSD,BUY,1.09843,WIN,1.644436,16.44436,20.0,15.0,15m,premium,0.443962,score_premium,0.284728,APPROVE,EURUSD-2020-03-17T21:25:00Z-000250,train
2020-03,2020-03-17T21:40:00Z,2020-03-17T22:50:00Z,EURUSD,BUY,1.10055,LOSS,-1.229256,-12.29256,-10.0,70.0,1h 10m,cautious,0.280734,score_cautious,0.190136,APPROVE,EURUSD-2020-03-17T21:40:00Z-000251,train
