schema_version,decision_id,timestamp,exit_timestamp,symbol,split,action,aggression_mode,base_aggression_mode,direction,entry_price,stop_loss,take_profit,score,baltasar_signal,baltasar_confidence,gaspar_signal,gaspar_p_deteriorating,gaspar_high_deterioration,gaspar_downgraded,melchor_signal,melchor_risk_flags,context_quality_rr2,reason_code,risk_notes,realized_R,hypothetical_adjusted_R,gross_r,spread_r,commission_r,slippage_r,is_2026q2,source_strategy,policy,score_formula,min_operational_score
ceo_magi_v3.entry_decision.v1,EURUSD-2023-10-31T17:00:00Z-005047,2023-10-31T17:00:00Z,2023-10-31T17:30:00Z,EURUSD,train,ENTER,premium,premium,SELL,1.06021,1.06121,1.05821,0.603971,ENTER_SELL,0.41504,ALLOW,0.110759,False,False,APPROVE,LOW,FAVORABLE,score_premium,Score accepted in premium band.,1.693455,1.693455,2.0,0.02,0.07,0.216545,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-10-31T17:30:00Z-005048,2023-10-31T17:30:00Z,2023-10-31T18:15:00Z,EURUSD,train,ENTER,premium,premium,SELL,1.05829,1.05929,1.05629,0.527699,ENTER_SELL,0.45092,ALLOW,0.260296,False,False,APPROVE,LOW,FAVORABLE,score_premium,Score accepted in premium band.,1.766512,1.766512,2.0,0.03,0.07,0.133488,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-10-31T18:15:00Z-005049,2023-10-31T18:15:00Z,2023-10-31T19:10:00Z,EURUSD,train,ENTER,normal,normal,SELL,1.05639,1.05739,1.05439,0.392993,ENTER_SELL,0.446136,ALLOW,0.086857,False,False,APPROVE,LOW,UNFAVORABLE,score_normal,Score accepted in normal band.,-1.274675,-1.274675,-1.0,0.02,0.07,0.184675,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-11-01T07:00:00Z-005050,2023-11-01T07:00:00Z,2023-11-01T09:05:00Z,EURUSD,train,DO_NOTHING,none,none,,,,,0.151852,ENTER_SELL,0.41173,ALLOW,0.175837,False,False,APPROVE,LOW,UNFAVORABLE,score_below_0_20,Score below validated operational threshold.,,-1.352014,-1.0,0.02,0.07,0.262014,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-11-01T09:05:00Z-005051,2023-11-01T09:05:00Z,2023-11-01T11:30:00Z,EURUSD,train,ENTER,cautious,cautious,SELL,1.05759,1.05859,1.05559,0.255249,ENTER_SELL,0.399818,ALLOW,0.020186,False,False,APPROVE,LOW,FAVORABLE,score_cautious,Score accepted in cautious band.,1.717475,1.717475,2.0,0.02,0.07,0.192525,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-11-01T11:30:00Z-005052,2023-11-01T11:30:00Z,2023-11-01T15:15:00Z,EURUSD,train,ENTER,cautious,cautious,SELL,1.0552,1.0562,1.0532,0.250941,ENTER_SELL,0.354499,ALLOW,0.019753,False,False,APPROVE,LOW,FAVORABLE,score_cautious,Score accepted in cautious band.,1.614639,1.614639,2.0,0.02,0.07,0.295361,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-11-01T17:00:00Z-005053,2023-11-01T17:00:00Z,2023-11-01T19:00:00Z,EURUSD,train,ENTER,cautious,cautious,SELL,1.05524,1.05624,1.05324,0.258918,ENTER_SELL,0.350629,ALLOW,0.017701,False,False,APPROVE,LOW,FAVORABLE,score_cautious,Score accepted in cautious band.,1.785564,1.785564,2.0,0.02,0.07,0.124436,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-11-01T21:15:00Z-005054,2023-11-01T21:15:00Z,2023-11-01T22:10:00Z,EURUSD,train,ENTER,cautious,cautious,BUY,1.05544,1.05444,1.05744,0.251253,ENTER_BUY,0.380291,ALLOW,0.010601,False,False,APPROVE,LOW,FAVORABLE,score_cautious,Score accepted in cautious band.,1.651612,1.651612,2.0,0.03,0.07,0.248388,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-11-02T07:00:00Z-005055,2023-11-02T07:00:00Z,2023-11-02T11:00:00Z,EURUSD,train,ENTER,cautious,cautious,BUY,1.05959,1.05859,1.06159,0.257183,ENTER_BUY,0.404202,ALLOW,0.058084,False,False,APPROVE,LOW,FAVORABLE,score_cautious,Score accepted in cautious band.,0.095707,0.095707,0.39,0.03,0.07,0.194293,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-11-02T11:00:00Z-005056,2023-11-02T11:00:00Z,2023-11-02T11:35:00Z,EURUSD,train,ENTER,normal,normal,BUY,1.06001,1.05901,1.06201,0.372277,ENTER_BUY,0.352977,ALLOW,0.283601,False,False,APPROVE,LOW,FAVORABLE,score_normal,Score accepted in normal band.,1.731549,1.731549,2.0,0.02,0.07,0.178451,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-11-02T11:35:00Z-005057,2023-11-02T11:35:00Z,2023-11-02T13:00:00Z,EURUSD,train,ENTER,normal,normal,BUY,1.06167,1.06067,1.06367,0.316309,ENTER_BUY,0.361971,ALLOW,0.370215,False,False,APPROVE,LOW,FAVORABLE,score_normal,Score accepted in normal band.,1.644887,1.644887,2.0,0.03,0.07,0.255113,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-11-02T14:30:00Z-005058,2023-11-02T14:30:00Z,2023-11-02T14:55:00Z,EURUSD,train,ENTER,cautious,cautious,BUY,1.06461,1.06361,1.06661,0.286779,ENTER_BUY,0.410527,ALLOW,0.463663,False,False,APPROVE,LOW,FAVORABLE,score_cautious,Score accepted in cautious band.,1.713957,1.713957,2.0,0.02,0.07,0.196043,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
