month,entry_datetime,symbol,direction,entry_price,result,net_pips,duration,duration_minutes,score,aggression_mode,reason_codes,decision_id,split,realized_R,gross_r,gross_pips
2020-03,2020-03-12 12:40:00+0000,EURUSD,SELL,1.12422,WIN,17.56605,45m,45.0,0.552527,premium,[score_premium],EURUSD-2020-03-12T12:40:00Z-000163,train,1.756605,2.0,20.0
2020-03,2020-03-12 14:00:00+0000,EURUSD,SELL,1.12371,LOSS,-12.798689999999999,5m,5.0,0.321973,normal,[score_normal],EURUSD-2020-03-12T14:00:00Z-000164,train,-1.279869,-1.0,-10.0
2020-03,2020-03-12 14:05:00+0000,EURUSD,SELL,1.12466,LOSS,-12.496849999999998,5m,5.0,0.220095,cautious,[score_cautious],EURUSD-2020-03-12T14:05:00Z-000165,train,-1.249685,-1.0,-10.0
2020-03,2020-03-12 14:10:00+0000,EURUSD,SELL,1.12461,WIN,17.37681,10m,10.0,0.41649,premium,[score_premium],EURUSD-2020-03-12T14:10:00Z-000166,train,1.737681,2.0,20.0
2020-03,2020-03-12 14:20:00+0000,EURUSD,SELL,1.12257,LOSS,-12.898879999999998,10m,10.0,0.251433,cautious,[score_cautious],EURUSD-2020-03-12T14:20:00Z-000167,train,-1.289888,-1.0,-10.0
2020-03,2020-03-12 14:30:00+0000,EURUSD,BUY,1.12138,LOSS,-12.89683,20m,20.0,0.245719,cautious,[score_cautious],EURUSD-2020-03-12T14:30:00Z-000168,train,-1.289683,-1.0,-10.0
2020-03,2020-03-12 14:50:00+0000,EURUSD,SELL,1.12703,LOSS,-12.57979,5m,5.0,0.294057,cautious,[score_cautious],EURUSD-2020-03-12T14:50:00Z-000169,train,-1.257979,-1.0,-10.0
2020-03,2020-03-12 14:55:00+0000,EURUSD,SELL,1.12502,WIN,17.53006,5m,5.0,0.334,normal,[score_normal],EURUSD-2020-03-12T14:55:00Z-000170,train,1.753006,2.0,20.0
2020-03,2020-03-12 17:00:00+0000,EURUSD,SELL,1.11448,WIN,16.51997,10m,10.0,0.390558,normal,[score_normal],EURUSD-2020-03-12T17:00:00Z-000171,train,1.651997,2.0,20.0
2020-03,2020-03-12 17:35:00+0000,EURUSD,SELL,1.11248,WIN,17.71509,5m,5.0,0.299731,cautious,[score_cautious],EURUSD-2020-03-12T17:35:00Z-000175,train,1.771509,2.0,20.0
2020-03,2020-03-12 17:40:00+0000,EURUSD,SELL,1.11097,WIN,16.26508,5m,5.0,0.325036,normal,[score_normal],EURUSD-2020-03-12T17:40:00Z-000176,train,1.626508,2.0,20.0
2020-03,2020-03-12 17:50:00+0000,EURUSD,SELL,1.11024,WIN,17.092750000000002,10m,10.0,0.237344,cautious,[score_cautious],EURUSD-2020-03-12T17:50:00Z-000178,train,1.709275,2.0,20.0
2020-03,2020-03-12 18:15:00+0000,EURUSD,BUY,1.10666,WIN,16.84637,20m,20.0,0.320839,normal,[score_normal],EURUSD-2020-03-12T18:15:00Z-000181,train,1.684637,2.0,20.0
2020-03,2020-03-13 07:35:00+0000,EURUSD,SELL,1.11989,LOSS,-12.67023,40m,40.0,0.2685,cautious,[score_cautious],EURUSD-2020-03-13T07:35:00Z-000198,train,-1.267023,-1.0,-10.0
2020-03,2020-03-13 08:15:00+0000,EURUSD,SELL,1.12062,WIN,16.33772,1h 10m,70.0,0.500642,premium,[score_premium],EURUSD-2020-03-13T08:15:00Z-000199,train,1.633772,2.0,20.0
2020-03,2020-03-13 09:25:00+0000,EURUSD,SELL,1.11731,LOSS,-12.63847,10m,10.0,0.262277,cautious,[score_cautious],EURUSD-2020-03-13T09:25:00Z-000200,train,-1.263847,-1.0,-10.0
2020-03,2020-03-13 09:35:00+0000,EURUSD,SELL,1.11883,WIN,16.69352,15m,15.0,0.380184,normal,[score_normal],EURUSD-2020-03-13T09:35:00Z-000201,train,1.669352,2.0,20.0
2020-03,2020-03-13 09:50:00+0000,EURUSD,SELL,1.11698,LOSS,-12.47693,10m,10.0,0.249048,cautious,[score_cautious],EURUSD-2020-03-13T09:50:00Z-000202,train,-1.247693,-1.0,-10.0
2020-03,2020-03-13 10:15:00+0000,EURUSD,SELL,1.1194,LOSS,-13.007679999999999,30m,30.0,0.235552,cautious,[score_cautious],EURUSD-2020-03-13T10:15:00Z-000205,train,-1.300768,-1.0,-10.0
2020-03,2020-03-13 10:45:00+0000,EURUSD,SELL,1.12046,WIN,17.62509,40m,40.0,0.431407,premium,[score_premium],EURUSD-2020-03-13T10:45:00Z-000206,train,1.762509,2.0,20.0
2020-03,2020-03-13 11:25:00+0000,EURUSD,SELL,1.11853,WIN,17.259999999999998,30m,30.0,0.427429,premium,[score_premium],EURUSD-2020-03-13T11:25:00Z-000207,train,1.726,2.0,20.0
2020-03,2020-03-13 11:55:00+0000,EURUSD,SELL,1.11683,WIN,17.0512,1h 20m,80.0,0.438358,premium,[score_premium],EURUSD-2020-03-13T11:55:00Z-000208,train,1.70512,2.0,20.0
2020-03,2020-03-13 14:10:00+0000,EURUSD,SELL,1.11633,WIN,17.92259,25m,25.0,0.301332,normal,[score_normal],EURUSD-2020-03-13T14:10:00Z-000210,train,1.792259,2.0,20.0
2020-03,2020-03-13 14:35:00+0000,EURUSD,SELL,1.11465,WIN,17.54966,20m,20.0,0.301632,normal,[score_normal],EURUSD-2020-03-13T14:35:00Z-000211,train,1.754966,2.0,20.0
2020-03,2020-03-13 18:25:00+0000,EURUSD,SELL,1.108,WIN,16.99456,15m,15.0,0.208712,cautious,[score_cautious],EURUSD-2020-03-13T18:25:00Z-000216,train,1.699456,2.0,20.0
2020-03,2020-03-17 08:30:00+0000,EURUSD,SELL,1.11718,WIN,18.008599999999998,35m,35.0,0.408249,premium,[score_premium],EURUSD-2020-03-17T08:30:00Z-000228,train,1.80086,2.0,20.0
2020-03,2020-03-17 09:05:00+0000,EURUSD,SELL,1.11501,WIN,17.58204,40m,40.0,0.502708,premium,[score_premium],EURUSD-2020-03-17T09:05:00Z-000229,train,1.758204,2.0,20.0
2020-03,2020-03-17 11:40:00+0000,EURUSD,SELL,1.11126,WIN,17.13642,20m,20.0,0.446531,premium,[score_premium],EURUSD-2020-03-17T11:40:00Z-000232,train,1.713642,2.0,20.0
2020-03,2020-03-17 12:00:00+0000,EURUSD,SELL,1.10938,WIN,18.0136,25m,25.0,0.419023,premium,[score_premium],EURUSD-2020-03-17T12:00:00Z-000233,train,1.80136,2.0,20.0
2020-03,2020-03-17 12:25:00+0000,EURUSD,SELL,1.10653,WIN,16.52355,25m,25.0,0.452685,premium,[score_premium],EURUSD-2020-03-17T12:25:00Z-000234,train,1.652355,2.0,20.0
2020-03,2020-03-17 12:50:00+0000,EURUSD,SELL,1.10414,WIN,16.84644,20m,20.0,0.462719,premium,[score_premium],EURUSD-2020-03-17T12:50:00Z-000235,train,1.684644,2.0,20.0
