month,scenario,lot,date,trades,tp,sl,be,daily_pnl_usd,balance_usd,drawdown_usd,drawdown_pct,distance_daily_limit_usd,distance_total_limit_usd,danger_zone,toxic_cluster_detected,toxic_cluster_reason
2022-04,baseline,1.0,2022-04-27,13,6,7,0,50.11,105512.22,0.0,0.0,4050.11,13512.22,No,False,
2022-04,baseline,1.0,2022-04-28,12,6,6,0,186.52,105698.74,0.0,0.0,4186.52,13698.74,No,False,
2022-04,baseline,1.0,2022-04-29,15,10,5,0,1024.73,106723.47,0.0,0.0,5024.73,14723.47,No,False,
2022-04,cluster_only_3sl,1.0,2022-04-01,1,1,0,0,175.56,100175.56,0.0,0.0,4175.56,8175.56,No,False,
2022-04,cluster_only_3sl,1.0,2022-04-05,5,5,0,0,749.09,100924.65,0.0,0.0,4749.09,8924.65,No,False,
2022-04,cluster_only_3sl,1.0,2022-04-06,1,1,0,0,175.81,101100.46,0.0,0.0,4175.81,9100.46,No,False,
2022-04,cluster_only_3sl,1.0,2022-04-08,3,3,0,0,503.01,101603.47,0.0,0.0,4503.01,9603.47,No,False,
2022-04,cluster_only_3sl,1.0,2022-04-12,1,1,0,0,19.59,101623.07,0.0,0.0,4019.59,9623.07,No,False,
2022-04,cluster_only_3sl,1.0,2022-04-13,3,2,1,0,213.91,101836.97,0.0,0.0,4213.91,9836.97,No,False,
2022-04,cluster_only_3sl,1.0,2022-04-14,4,4,0,0,668.94,102505.91,0.0,0.0,4668.94,10505.91,No,False,
2022-04,cluster_only_3sl,1.0,2022-04-15,2,2,0,0,203.25,102709.16,0.0,0.0,4203.25,10709.16,No,False,
2022-04,cluster_only_3sl,1.0,2022-04-19,4,3,1,0,388.59,103097.75,0.0,0.0,4388.59,11097.75,No,False,
2022-04,cluster_only_3sl,1.0,2022-04-20,4,3,1,0,212.08,103309.84,0.0,0.0,4212.08,11309.84,No,False,
2022-04,cluster_only_3sl,1.0,2022-04-21,11,7,4,0,650.27,103960.11,0.0,0.0,4650.27,11960.11,No,False,
2022-04,cluster_only_3sl,1.0,2022-04-22,8,6,2,0,652.14,104612.25,0.0,0.0,4652.14,12612.25,No,False,
2022-04,cluster_only_3sl,1.0,2022-04-26,7,6,1,0,849.86,105462.11,0.0,0.0,4849.86,13462.11,No,False,
2022-04,cluster_only_3sl,1.0,2022-04-27,6,3,3,0,99.5,105561.61,0.0,0.0,4099.5,13561.61,No,True,cluster_3_consecutive_sl_safe_mode
2022-04,cluster_only_3sl,1.0,2022-04-28,12,6,6,0,186.52,105748.13,0.0,0.0,4186.52,13748.13,No,False,
2022-04,cluster_only_3sl,1.0,2022-04-29,15,10,5,0,1024.73,106772.86,0.0,0.0,5024.73,14772.86,No,False,
2022-04,guardrails_completos,1.0,2022-04-01,1,1,0,0,175.56,100175.56,0.0,0.0,4175.56,8175.56,No,False,
2022-04,guardrails_completos,1.0,2022-04-05,5,5,0,0,749.09,100924.65,0.0,0.0,4749.09,8924.65,No,False,
2022-04,guardrails_completos,1.0,2022-04-06,1,1,0,0,175.81,101100.46,0.0,0.0,4175.81,9100.46,No,False,
2022-04,guardrails_completos,1.0,2022-04-08,3,3,0,0,503.01,101603.47,0.0,0.0,4503.01,9603.47,No,False,
2022-04,guardrails_completos,1.0,2022-04-12,1,1,0,0,19.59,101623.07,0.0,0.0,4019.59,9623.07,No,False,
2022-04,guardrails_completos,1.0,2022-04-13,3,2,1,0,213.91,101836.97,0.0,0.0,4213.91,9836.97,No,False,
2022-04,guardrails_completos,1.0,2022-04-14,4,4,0,0,668.94,102505.91,0.0,0.0,4668.94,10505.91,No,False,
2022-04,guardrails_completos,1.0,2022-04-15,2,2,0,0,203.25,102709.16,0.0,0.0,4203.25,10709.16,No,False,
2022-04,guardrails_completos,1.0,2022-04-19,4,3,1,0,388.59,103097.75,0.0,0.0,4388.59,11097.75,No,False,
2022-04,guardrails_completos,1.0,2022-04-20,4,3,1,0,212.08,103309.84,0.0,0.0,4212.08,11309.84,No,False,
2022-04,guardrails_completos,1.0,2022-04-21,11,7,4,0,650.27,103960.11,0.0,0.0,4650.27,11960.11,No,False,
2022-04,guardrails_completos,1.0,2022-04-22,5,4,1,0,524.82,104484.93,0.0,0.0,4524.82,12484.93,No,False,
2022-04,guardrails_completos,1.0,2022-04-26,7,6,1,0,849.86,105334.79,0.0,0.0,4849.86,13334.79,No,False,
2022-04,guardrails_completos,1.0,2022-04-27,9,4,5,0,-8.8,105325.99,8.8,8.8e-05,3991.2,13325.99,No,True,cluster_2_consecutive_sl_block_180m
2022-04,guardrails_completos,1.0,2022-04-28,11,5,6,0,24.12,105350.11,0.0,0.0,4024.12,13350.11,No,True,cluster_2_consecutive_sl_block_180m
2022-04,guardrails_completos,1.0,2022-04-29,6,4,2,0,402.65,105752.75,0.0,0.0,4402.65,13752.75,No,True,friday_2sl_safe_mode
2020-09,baseline,1.0,2020-09-01,1,0,1,0,-36.14,99963.86,36.14,0.000361,3963.86,7963.86,No,False,
2020-09,baseline,1.0,2020-09-02,8,6,2,0,750.15,100714.01,0.0,0.0,4750.15,8714.01,No,False,
2020-09,baseline,1.0,2020-09-03,6,6,0,0,1037.29,101751.3,0.0,0.0,5037.29,9751.3,No,False,
2020-09,baseline,1.0,2020-09-04,1,0,1,0,-130.38,101620.93,130.38,0.001304,3869.62,9620.93,No,False,
2020-09,baseline,1.0,2020-09-08,2,1,1,0,38.93,101659.86,91.44,0.000914,4038.93,9659.86,No,False,
2020-09,baseline,1.0,2020-09-09,4,4,0,0,544.74,102204.6,0.0,0.0,4544.74,10204.6,No,False,
2020-09,baseline,1.0,2020-09-10,4,4,0,0,667.2,102871.8,0.0,0.0,4667.2,10871.8,No,False,
2020-09,baseline,1.0,2020-09-11,7,5,2,0,782.07,103653.88,0.0,0.0,4782.07,11653.88,No,False,
2020-09,baseline,1.0,2020-09-15,1,1,0,0,174.07,103827.94,0.0,0.0,4174.07,11827.94,No,False,
2020-09,baseline,1.0,2020-09-16,1,1,0,0,117.54,103945.48,0.0,0.0,4117.54,11945.48,No,False,
2020-09,baseline,1.0,2020-09-17,7,6,1,0,763.74,104709.22,0.0,0.0,4763.74,12709.22,No,False,
2020-09,baseline,1.0,2020-09-18,2,1,1,0,132.06,104841.28,0.0,0.0,4132.06,12841.28,No,False,
2020-09,baseline,1.0,2020-09-22,8,6,2,0,593.73,105435.02,0.0,0.0,4593.73,13435.02,No,False,
2020-09,baseline,1.0,2020-09-23,5,4,1,0,498.8,105933.81,0.0,0.0,4498.8,13933.81,No,False,
2020-09,baseline,1.0,2020-09-24,3,3,0,0,503.64,106437.45,0.0,0.0,4503.64,14437.45,No,False,
2020-09,baseline,1.0,2020-09-25,6,5,1,0,582.98,107020.43,0.0,0.0,4582.98,15020.43,No,False,
2020-09,baseline,1.0,2020-09-29,6,4,2,0,432.95,107453.38,0.0,0.0,4432.95,15453.38,No,False,
2020-09,baseline,1.0,2020-09-30,1,1,0,0,171.67,107625.05,0.0,0.0,4171.67,15625.05,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-01,1,0,1,0,-36.14,99963.86,36.14,0.000361,3963.86,7963.86,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-02,8,6,2,0,750.15,100714.01,0.0,0.0,4750.15,8714.01,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-03,6,6,0,0,1037.29,101751.3,0.0,0.0,5037.29,9751.3,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-04,1,0,1,0,-130.38,101620.93,130.38,0.001304,3869.62,9620.93,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-08,2,1,1,0,38.93,101659.86,91.44,0.000914,4038.93,9659.86,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-09,4,4,0,0,544.74,102204.6,0.0,0.0,4544.74,10204.6,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-10,4,4,0,0,667.2,102871.8,0.0,0.0,4667.2,10871.8,No,False,
