month,scenario,lot,date,balance_usd,peak_usd,drawdown_usd,drawdown_pct,daily_pnl_usd
2020-03,guardrails_completos,1.0,2020-03-13,103326.72,103416.43,89.71,0.000897,-89.71
2020-03,guardrails_completos,1.0,2020-03-17,104536.9,104536.9,0.0,0.0,1210.18
2020-03,guardrails_completos,1.0,2020-03-18,105758.26,105758.26,0.0,0.0,1221.36
2020-03,guardrails_completos,1.0,2020-03-19,105798.64,105798.64,0.0,0.0,40.38
2020-03,guardrails_completos,1.0,2020-03-20,106199.17,106199.17,0.0,0.0,400.53
2020-03,guardrails_completos,1.0,2020-03-25,106377.1,106377.1,0.0,0.0,177.93
2020-03,guardrails_completos,1.0,2020-03-26,107149.03,107149.03,0.0,0.0,771.93
2020-03,guardrails_completos,1.0,2020-03-27,109043.23,109043.23,0.0,0.0,1894.2
2020-03,guardrails_completos,1.0,2020-03-31,109209.2,109209.2,0.0,0.0,165.97
2022-04,baseline,0.6,2022-04-01,100105.33,100105.33,0.0,0.0,105.33
2022-04,baseline,0.6,2022-04-05,100554.79,100554.79,0.0,0.0,449.46
2022-04,baseline,0.6,2022-04-06,100660.28,100660.28,0.0,0.0,105.49
2022-04,baseline,0.6,2022-04-08,100962.08,100962.08,0.0,0.0,301.81
2022-04,baseline,0.6,2022-04-12,100973.84,100973.84,0.0,0.0,11.76
2022-04,baseline,0.6,2022-04-13,101102.18,101102.18,0.0,0.0,128.34
2022-04,baseline,0.6,2022-04-14,101503.55,101503.55,0.0,0.0,401.36
2022-04,baseline,0.6,2022-04-15,101625.5,101625.5,0.0,0.0,121.95
2022-04,baseline,0.6,2022-04-19,101858.65,101858.65,0.0,0.0,233.16
2022-04,baseline,0.6,2022-04-20,101985.9,101985.9,0.0,0.0,127.25
2022-04,baseline,0.6,2022-04-21,102376.06,102376.06,0.0,0.0,390.16
2022-04,baseline,0.6,2022-04-22,102767.35,102767.35,0.0,0.0,391.29
2022-04,baseline,0.6,2022-04-26,103277.27,103277.27,0.0,0.0,509.92
2022-04,baseline,0.6,2022-04-27,103307.33,103307.33,0.0,0.0,30.06
2022-04,baseline,0.6,2022-04-28,103419.24,103419.24,0.0,0.0,111.91
2022-04,baseline,0.6,2022-04-29,104034.08,104034.08,0.0,0.0,614.84
2022-04,baseline,1.0,2022-04-01,100175.56,100175.56,0.0,0.0,175.56
2022-04,baseline,1.0,2022-04-05,100924.65,100924.65,0.0,0.0,749.09
2022-04,baseline,1.0,2022-04-06,101100.46,101100.46,0.0,0.0,175.81
2022-04,baseline,1.0,2022-04-08,101603.47,101603.47,0.0,0.0,503.01
2022-04,baseline,1.0,2022-04-12,101623.07,101623.07,0.0,0.0,19.59
2022-04,baseline,1.0,2022-04-13,101836.97,101836.97,0.0,0.0,213.91
2022-04,baseline,1.0,2022-04-14,102505.91,102505.91,0.0,0.0,668.94
2022-04,baseline,1.0,2022-04-15,102709.16,102709.16,0.0,0.0,203.25
2022-04,baseline,1.0,2022-04-19,103097.75,103097.75,0.0,0.0,388.59
2022-04,baseline,1.0,2022-04-20,103309.84,103309.84,0.0,0.0,212.08
2022-04,baseline,1.0,2022-04-21,103960.11,103960.11,0.0,0.0,650.27
2022-04,baseline,1.0,2022-04-22,104612.25,104612.25,0.0,0.0,652.14
2022-04,baseline,1.0,2022-04-26,105462.11,105462.11,0.0,0.0,849.86
2022-04,baseline,1.0,2022-04-27,105512.22,105512.22,0.0,0.0,50.11
2022-04,baseline,1.0,2022-04-28,105698.74,105698.74,0.0,0.0,186.52
2022-04,baseline,1.0,2022-04-29,106723.47,106723.47,0.0,0.0,1024.73
2022-04,cluster_only_3sl,0.6,2022-04-01,100105.33,100105.33,0.0,0.0,105.33
2022-04,cluster_only_3sl,0.6,2022-04-05,100554.79,100554.79,0.0,0.0,449.46
2022-04,cluster_only_3sl,0.6,2022-04-06,100660.28,100660.28,0.0,0.0,105.49
2022-04,cluster_only_3sl,0.6,2022-04-08,100962.08,100962.08,0.0,0.0,301.81
2022-04,cluster_only_3sl,0.6,2022-04-12,100973.84,100973.84,0.0,0.0,11.76
2022-04,cluster_only_3sl,0.6,2022-04-13,101102.18,101102.18,0.0,0.0,128.34
2022-04,cluster_only_3sl,0.6,2022-04-14,101503.55,101503.55,0.0,0.0,401.36
2022-04,cluster_only_3sl,0.6,2022-04-15,101625.5,101625.5,0.0,0.0,121.95
2022-04,cluster_only_3sl,0.6,2022-04-19,101858.65,101858.65,0.0,0.0,233.16
2022-04,cluster_only_3sl,0.6,2022-04-20,101985.9,101985.9,0.0,0.0,127.25
2022-04,cluster_only_3sl,0.6,2022-04-21,102376.06,102376.06,0.0,0.0,390.16
