group,scenario,month,entry_time,decision_id,symbol,direction,result_if_taken,r_if_taken,net_pips_if_taken,reason,cluster_id,cluster_consecutive_sl,daily_sl_count,session_sl_count,daily_drawdown_r,friday_risk,spread_deteriorated,safe_mode_active,blocked_until
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T09:55:00+00:00,EURUSD-2020-03-19T09:55:00Z-000314,EURUSD,SELL,WIN,1.643532,16.43532,cluster_2_consecutive_sl_block_180m,39,2,2,2,2.58682,False,False,False,2020-03-19T11:50:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T10:20:00+00:00,EURUSD-2020-03-19T10:20:00Z-000317,EURUSD,SELL,LOSS,-1.182869,-11.82869,cluster_2_consecutive_sl_block_180m,41,0,3,3,3.88176,False,False,False,2020-03-19T11:50:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T10:25:00+00:00,EURUSD-2020-03-19T10:25:00Z-000318,EURUSD,SELL,LOSS,-1.234612,-12.34612,cluster_2_consecutive_sl_block_180m,42,0,3,3,3.88176,False,False,False,2020-03-19T11:50:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T10:30:00+00:00,EURUSD-2020-03-19T10:30:00Z-000319,EURUSD,SELL,LOSS,-1.327964,-13.27964,cluster_2_consecutive_sl_block_180m,43,0,3,3,3.88176,False,False,False,2020-03-19T11:50:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T10:40:00+00:00,EURUSD-2020-03-19T10:40:00Z-000320,EURUSD,SELL,LOSS,-1.249064,-12.49064,cluster_2_consecutive_sl_block_180m,44,0,3,3,3.88176,False,False,False,2020-03-19T11:50:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T10:45:00+00:00,EURUSD-2020-03-19T10:45:00Z-000321,EURUSD,SELL,WIN,1.634328,16.34328,cluster_2_consecutive_sl_block_180m,45,0,3,3,3.88176,False,False,False,2020-03-19T11:50:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T10:55:00+00:00,EURUSD-2020-03-19T10:55:00Z-000322,EURUSD,SELL,WIN,1.767172,17.67172,cluster_2_consecutive_sl_block_180m,46,0,3,3,3.88176,False,False,False,2020-03-19T11:50:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T11:25:00+00:00,EURUSD-2020-03-19T11:25:00Z-000324,EURUSD,SELL,LOSS,-1.318998,-13.18998,cluster_2_consecutive_sl_block_180m,48,0,3,3,3.88176,False,False,False,2020-03-19T11:50:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T11:35:00+00:00,EURUSD-2020-03-19T11:35:00Z-000325,EURUSD,SELL,WIN,1.724764,17.24764,cluster_2_consecutive_sl_block_180m,49,0,3,3,3.88176,False,False,False,2020-03-19T11:50:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T11:40:00+00:00,EURUSD-2020-03-19T11:40:00Z-000326,EURUSD,SELL,WIN,1.696335,16.96335,cluster_2_consecutive_sl_block_180m,50,0,3,3,3.88176,False,False,False,2020-03-19T11:50:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T19:00:00+00:00,EURUSD-2020-03-19T19:00:00Z-000331,EURUSD,BUY,WIN,1.793904,17.93904,cluster_2_consecutive_sl_block_180m,52,2,5,2,6.448339,False,False,False,2020-03-19T22:00:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T19:15:00+00:00,EURUSD-2020-03-19T19:15:00Z-000332,EURUSD,BUY,WIN,1.679756,16.79756,cluster_2_consecutive_sl_block_180m,52,2,5,2,6.448339,False,False,False,2020-03-19T22:00:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T19:35:00+00:00,EURUSD-2020-03-19T19:35:00Z-000333,EURUSD,BUY,LOSS,-1.249483,-12.49483,cluster_2_consecutive_sl_block_180m,52,2,5,2,6.448339,False,False,False,2020-03-19T22:00:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T19:40:00+00:00,EURUSD-2020-03-19T19:40:00Z-000334,EURUSD,BUY,LOSS,-1.185923,-11.85923,cluster_2_consecutive_sl_block_180m,52,2,5,2,6.448339,False,False,False,2020-03-19T22:00:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T21:00:00+00:00,EURUSD-2020-03-19T21:00:00Z-000335,EURUSD,BUY,WIN,1.716922,17.16922,cluster_2_consecutive_sl_block_180m,52,2,5,2,6.448339,False,False,False,2020-03-19T22:00:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T21:15:00+00:00,EURUSD-2020-03-19T21:15:00Z-000336,EURUSD,BUY,LOSS,-1.292457,-12.92457,cluster_2_consecutive_sl_block_180m,52,2,5,2,6.448339,False,False,False,2020-03-19T22:00:00+00:00
