threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.50,new_york|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_mid_low,423,13,0.030733,0.230769,-0.307692,-4.0,0.6,8.0,,0.230769,0.281844,"{""DO_NOTHING"": 410, ""ENTER_SELL"": 13}","{""DO_NOTHING"": 282, ""ENTER_BUY"": 53, ""ENTER_SELL"": 88}","{""DO_NOTHING"": {""DO_NOTHING"": 272, ""ENTER_BUY"": 0, ""ENTER_SELL"": 10}, ""ENTER_BUY"": {""DO_NOTHING"": 53, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 85, ""ENTER_BUY"": 0, ""ENTER_SELL"": 3}}",True
0.50,new_york|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_high,1393,128,0.091888,0.242188,-0.147266,-18.85,0.784004,36.0,0.030303,0.315789,0.306687,"{""DO_NOTHING"": 1265, ""ENTER_BUY"": 33, ""ENTER_SELL"": 95}","{""DO_NOTHING"": 837, ""ENTER_BUY"": 306, ""ENTER_SELL"": 250}","{""DO_NOTHING"": {""DO_NOTHING"": 778, ""ENTER_BUY"": 18, ""ENTER_SELL"": 41}, ""ENTER_BUY"": {""DO_NOTHING"": 281, ""ENTER_BUY"": 1, ""ENTER_SELL"": 24}, ""ENTER_SELL"": {""DO_NOTHING"": 206, ""ENTER_BUY"": 14, ""ENTER_SELL"": 30}}",False
0.50,new_york|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_low,149,7,0.04698,0.428571,0.285714,2.0,1.5,3.0,0.428571,,0.246166,"{""DO_NOTHING"": 142, ""ENTER_BUY"": 7}","{""DO_NOTHING"": 71, ""ENTER_BUY"": 53, ""ENTER_SELL"": 25}","{""DO_NOTHING"": {""DO_NOTHING"": 68, ""ENTER_BUY"": 3, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 50, ""ENTER_BUY"": 3, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 24, ""ENTER_BUY"": 1, ""ENTER_SELL"": 0}}",True
0.50,new_york|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_mid_high,793,47,0.059269,0.404255,0.212766,10.0,1.357143,19.0,0.375,0.434783,0.342182,"{""DO_NOTHING"": 746, ""ENTER_BUY"": 24, ""ENTER_SELL"": 23}","{""DO_NOTHING"": 507, ""ENTER_BUY"": 145, ""ENTER_SELL"": 141}","{""DO_NOTHING"": {""DO_NOTHING"": 500, ""ENTER_BUY"": 0, ""ENTER_SELL"": 7}, ""ENTER_BUY"": {""DO_NOTHING"": 130, ""ENTER_BUY"": 9, ""ENTER_SELL"": 6}, ""ENTER_SELL"": {""DO_NOTHING"": 116, ""ENTER_BUY"": 15, ""ENTER_SELL"": 10}}",True
0.50,new_york|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_mid_low,401,20,0.049875,0.9,1.7,34.0,18.0,2.0,1.0,0.75,0.35528,"{""DO_NOTHING"": 381, ""ENTER_BUY"": 12, ""ENTER_SELL"": 8}","{""DO_NOTHING"": 217, ""ENTER_BUY"": 118, ""ENTER_SELL"": 66}","{""DO_NOTHING"": {""DO_NOTHING"": 215, ""ENTER_BUY"": 0, ""ENTER_SELL"": 2}, ""ENTER_BUY"": {""DO_NOTHING"": 106, ""ENTER_BUY"": 12, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 60, ""ENTER_BUY"": 0, ""ENTER_SELL"": 6}}",True
0.50,new_york|h4_range|d1_bullish|align_aligned|atr_low|d1pos_mid_high,72,0,0.0,,,,,0.0,,,0.222222,"{""DO_NOTHING"": 72}","{""DO_NOTHING"": 36, ""ENTER_BUY"": 20, ""ENTER_SELL"": 16}","{""DO_NOTHING"": {""DO_NOTHING"": 36, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 20, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 16, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.50,new_york|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_high,868,26,0.029954,0.076923,0.273462,7.11,1.875616,5.0,0.052632,0.142857,0.248005,"{""DO_NOTHING"": 842, ""ENTER_BUY"": 19, ""ENTER_SELL"": 7}","{""DO_NOTHING"": 511, ""ENTER_BUY"": 119, ""ENTER_SELL"": 238}","{""DO_NOTHING"": {""DO_NOTHING"": 488, ""ENTER_BUY"": 17, ""ENTER_SELL"": 6}, ""ENTER_BUY"": {""DO_NOTHING"": 118, ""ENTER_BUY"": 1, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 236, ""ENTER_BUY"": 1, ""ENTER_SELL"": 1}}",True
0.50,new_york|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_low,96,2,0.020833,0.0,0.59,1.18,,0.0,0.0,,0.264151,"{""DO_NOTHING"": 94, ""ENTER_BUY"": 2}","{""DO_NOTHING"": 65, ""ENTER_BUY"": 11, ""ENTER_SELL"": 20}","{""DO_NOTHING"": {""DO_NOTHING"": 63, ""ENTER_BUY"": 2, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 11, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 20, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.50,new_york|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_mid_high,492,22,0.044715,0.0,-1.0,-22.0,0.0,22.0,0.0,,0.265323,"{""DO_NOTHING"": 470, ""ENTER_BUY"": 22}","{""DO_NOTHING"": 324, ""ENTER_BUY"": 87, ""ENTER_SELL"": 81}","{""DO_NOTHING"": {""DO_NOTHING"": 316, ""ENTER_BUY"": 8, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 87, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 67, ""ENTER_BUY"": 14, ""ENTER_SELL"": 0}}",True
0.50,new_york|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_mid_low,248,24,0.096774,0.833333,1.5,36.0,10.0,2.0,0.833333,,0.398948,"{""DO_NOTHING"": 224, ""ENTER_BUY"": 24}","{""DO_NOTHING"": 134, ""ENTER_BUY"": 61, ""ENTER_SELL"": 53}","{""DO_NOTHING"": {""DO_NOTHING"": 130, ""ENTER_BUY"": 4, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 41, ""ENTER_BUY"": 20, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 53, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.50,new_york|h4_range|d1_range|align_neutral|atr_extended|d1pos_high,1793,135,0.075293,0.355556,0.100444,13.56,1.164304,28.0,0.0,0.380952,0.282495,"{""DO_NOTHING"": 1658, ""ENTER_BUY"": 9, ""ENTER_SELL"": 126}","{""DO_NOTHING"": 931, ""ENTER_BUY"": 382, ""ENTER_SELL"": 480}","{""DO_NOTHING"": {""DO_NOTHING"": 892, ""ENTER_BUY"": 2, ""ENTER_SELL"": 37}, ""ENTER_BUY"": {""DO_NOTHING"": 341, ""ENTER_BUY"": 0, ""ENTER_SELL"": 41}, ""ENTER_SELL"": {""DO_NOTHING"": 425, ""ENTER_BUY"": 7, ""ENTER_SELL"": 48}}",False
0.50,new_york|h4_range|d1_range|align_neutral|atr_extended|d1pos_low,2207,156,0.070684,0.205128,-0.21859,-34.1,0.685134,64.97,0.205128,,0.312176,"{""DO_NOTHING"": 2051, ""ENTER_BUY"": 156}","{""DO_NOTHING"": 1495, ""ENTER_BUY"": 312, ""ENTER_SELL"": 400}","{""DO_NOTHING"": {""DO_NOTHING"": 1418, ""ENTER_BUY"": 77, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 280, ""ENTER_BUY"": 32, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 353, ""ENTER_BUY"": 47, ""ENTER_SELL"": 0}}",False
0.50,new_york|h4_range|d1_range|align_neutral|atr_extended|d1pos_mid_high,2704,194,0.071746,0.283505,-0.011907,-2.31,0.981267,47.88,0.098361,0.368421,0.326092,"{""DO_NOTHING"": 2510, ""ENTER_BUY"": 61, ""ENTER_SELL"": 133}","{""DO_NOTHING"": 1810, ""ENTER_BUY"": 383, ""ENTER_SELL"": 511}","{""DO_NOTHING"": {""DO_NOTHING"": 1726, ""ENTER_BUY"": 32, ""ENTER_SELL"": 52}, ""ENTER_BUY"": {""DO_NOTHING"": 345, ""ENTER_BUY"": 6, ""ENTER_SELL"": 32}, ""ENTER_SELL"": {""DO_NOTHING"": 439, ""ENTER_BUY"": 23, ""ENTER_SELL"": 49}}",False
