path,present_count,missing_count,null_count,null_pct,types,cardinality,numeric_min,numeric_max,examples
features.H1.market_structure,371513,0,0,0.0,str:371513,3,,,trend | trend | trend
features.H1.newest_bar_time,371513,0,0,0.0,str:371513,>2000,,,2020-01-15T00:00:00 | 2020-01-15T00:00:00 | 2020-01-15T00:00:00
features.H1.oldest_bar_time,371513,0,0,0.0,str:371513,1,,,2019-01-02T06:00:00 | 2019-01-02T06:00:00 | 2019-01-02T06:00:00
features.H1.rates_array_as_series,371513,0,0,0.0,bool:371513,1,,,False | False | False
features.H1.recent_range,371513,0,0,0.0,float:371513,1332,0.00048,0.02498,0.00146 | 0.00146 | 0.00146
features.H1.rsi_14,371513,0,0,0.0,float:371513,>2000,8.46,91.64,48.2 | 48.2 | 48.2
features.H1.selected_array_index,371513,0,0,0.0,int:371513,1,47.0,47.0,47 | 47 | 47
features.H1.selected_shift,371513,0,0,0.0,int:371513,2,1.0,2.0,1 | 1 | 1
features.H1.structure_direction,371513,0,0,0.0,str:371513,3,,,bearish | bearish | bearish
features.H4.age_minutes,371513,0,0,0.0,float:371513,48,0.0,235.0,0.0 | 5.0 | 10.0
features.H4.alignment_status,371513,0,0,0.0,str:371513,1,,,ok | ok | ok
features.H4.alignment_warning,371513,0,371513,1.0,null:371513,0,,,
features.H4.anchor_ibar_shift,371513,0,0,0.0,int:371513,2,0.0,1.0,0 | 0 | 0
features.H4.bar_close_timestamp,371513,0,0,0.0,str:371513,>2000,,,2020-01-15T00:00:00 | 2020-01-15T00:00:00 | 2020-01-15T00:00:00
features.H4.bar_timestamp,371513,0,0,0.0,str:371513,>2000,,,2020-01-14T20:00:00 | 2020-01-14T20:00:00 | 2020-01-14T20:00:00
features.H4.bars_available,371513,0,0,0.0,int:371513,>2000,1606.0,11332.0,1606 | 1606 | 1606
features.H4.candle_pattern,371513,0,0,0.0,str:371513,4,,,none | none | none
features.H4.copied_array_size,371513,0,0,0.0,int:371513,1,48.0,48.0,48 | 48 | 48
features.H4.data_source_status,371513,0,0,0.0,str:371513,1,,,OK | OK | OK
features.H4.ema_20,371513,0,0,0.0,float:371513,>2000,0.96455005,1.22945485,1.11262464 | 1.11262464 | 1.11262464
features.H4.ema_200,371513,0,0,0.0,float:371513,>2000,0.984786,1.21470172,1.11179362 | 1.11179362 | 1.11179362
features.H4.ema_50,371513,0,0,0.0,float:371513,>2000,0.97509718,1.22658094,1.11344327 | 1.11344327 | 1.11344327
features.H4.market_structure,371513,0,0,0.0,str:371513,3,,,range | range | range
features.H4.newest_bar_time,371513,0,0,0.0,str:371513,>2000,,,2020-01-15T00:00:00 | 2020-01-15T00:00:00 | 2020-01-15T00:00:00
