variant,threshold,quarter,rows,trades,coverage,trade_precision,buy_precision,sell_precision,avg_r,total_r,profit_factor,max_drawdown_r,prediction_distribution,target_distribution,low_sample
rich_policy_medium,0.40,2026Q2,2294,459,0.200087,0.22658,0.0,0.227571,-0.057211,-26.26,0.900311,93.66,"{""DO_NOTHING"": 1835, ""ENTER_BUY"": 2, ""ENTER_SELL"": 457}","{""DO_NOTHING"": 1283, ""ENTER_BUY"": 692, ""ENTER_SELL"": 319}",False
rich_policy_strict,0.40,2024Q1,14657,1197,0.081667,0.205514,0.171315,0.230216,-0.113225,-135.53,0.818483,221.89,"{""DO_NOTHING"": 13460, ""ENTER_BUY"": 502, ""ENTER_SELL"": 695}","{""DO_NOTHING"": 10616, ""ENTER_BUY"": 1838, ""ENTER_SELL"": 2203}",False
rich_policy_strict,0.40,2024Q2,14989,1163,0.07759,0.199484,0.208038,0.176656,0.120439,140.07,1.245845,126.11,"{""DO_NOTHING"": 13826, ""ENTER_BUY"": 846, ""ENTER_SELL"": 317}","{""DO_NOTHING"": 11119, ""ENTER_BUY"": 1910, ""ENTER_SELL"": 1960}",False
rich_policy_strict,0.40,2024Q3,14801,836,0.056483,0.154306,0.15528,0.152975,-0.02951,-24.67,0.941941,183.26,"{""DO_NOTHING"": 13965, ""ENTER_BUY"": 483, ""ENTER_SELL"": 353}","{""DO_NOTHING"": 11126, ""ENTER_BUY"": 1944, ""ENTER_SELL"": 1731}",False
rich_policy_strict,0.40,2024Q4,14931,2215,0.148349,0.24921,0.2372,0.276786,0.034208,75.77,1.059765,211.87,"{""DO_NOTHING"": 12716, ""ENTER_BUY"": 1543, ""ENTER_SELL"": 672}","{""DO_NOTHING"": 9589, ""ENTER_BUY"": 2456, ""ENTER_SELL"": 2886}",False
rich_policy_strict,0.40,2025Q1,14033,2355,0.167819,0.283652,0.263975,0.326174,0.123083,289.86,1.226499,179.45,"{""DO_NOTHING"": 11678, ""ENTER_BUY"": 1610, ""ENTER_SELL"": 745}","{""DO_NOTHING"": 8014, ""ENTER_BUY"": 2997, ""ENTER_SELL"": 3022}",False
rich_policy_strict,0.40,2025Q2,14977,2702,0.18041,0.350111,0.419307,0.280297,0.110252,297.9,1.180303,136.66,"{""DO_NOTHING"": 12275, ""ENTER_BUY"": 1357, ""ENTER_SELL"": 1345}","{""DO_NOTHING"": 6935, ""ENTER_BUY"": 4443, ""ENTER_SELL"": 3599}",False
rich_policy_strict,0.40,2025Q3,15034,2310,0.153652,0.307792,0.324961,0.301255,0.194905,450.23,1.365405,118.52,"{""DO_NOTHING"": 12724, ""ENTER_BUY"": 637, ""ENTER_SELL"": 1673}","{""DO_NOTHING"": 8829, ""ENTER_BUY"": 2783, ""ENTER_SELL"": 3422}",False
rich_policy_strict,0.40,2025Q4,14637,1495,0.102138,0.221405,0.180451,0.230269,0.173639,259.59,1.367202,68.67,"{""DO_NOTHING"": 13142, ""ENTER_BUY"": 266, ""ENTER_SELL"": 1229}","{""DO_NOTHING"": 10266, ""ENTER_BUY"": 2193, ""ENTER_SELL"": 2178}",False
rich_policy_strict,0.40,2026Q1,14016,1968,0.140411,0.28252,0.245856,0.303859,0.053928,106.13,1.092566,167.66,"{""DO_NOTHING"": 12048, ""ENTER_BUY"": 724, ""ENTER_SELL"": 1244}","{""DO_NOTHING"": 8447, ""ENTER_BUY"": 2498, ""ENTER_SELL"": 3071}",False
rich_policy_strict,0.40,2026Q2,2294,294,0.12816,0.210884,0.0,0.212329,-0.07483,-22.0,0.873301,83.6,"{""DO_NOTHING"": 2000, ""ENTER_BUY"": 2, ""ENTER_SELL"": 292}","{""DO_NOTHING"": 1283, ""ENTER_BUY"": 692, ""ENTER_SELL"": 319}",False
no_policy,0.50,2024Q1,14657,1024,0.069864,0.277344,0.19181,0.348214,0.106367,108.92,1.189265,142.04,"{""DO_NOTHING"": 13633, ""ENTER_BUY"": 464, ""ENTER_SELL"": 560}","{""DO_NOTHING"": 10616, ""ENTER_BUY"": 1838, ""ENTER_SELL"": 2203}",False
no_policy,0.50,2024Q2,14989,820,0.054707,0.271951,0.257457,0.322404,0.054585,44.76,1.093666,193.23,"{""DO_NOTHING"": 14169, ""ENTER_BUY"": 637, ""ENTER_SELL"": 183}","{""DO_NOTHING"": 11119, ""ENTER_BUY"": 1910, ""ENTER_SELL"": 1960}",False
no_policy,0.50,2024Q3,14801,529,0.035741,0.293006,0.313531,0.265487,0.202042,106.88,1.403458,64.18,"{""DO_NOTHING"": 14272, ""ENTER_BUY"": 303, ""ENTER_SELL"": 226}","{""DO_NOTHING"": 11126, ""ENTER_BUY"": 1944, ""ENTER_SELL"": 1731}",False
no_policy,0.50,2024Q4,14931,1287,0.086197,0.298368,0.290509,0.314421,0.097319,125.25,1.169204,184.95,"{""DO_NOTHING"": 13644, ""ENTER_BUY"": 864, ""ENTER_SELL"": 423}","{""DO_NOTHING"": 9589, ""ENTER_BUY"": 2456, ""ENTER_SELL"": 2886}",False
no_policy,0.50,2025Q1,14033,1239,0.088292,0.30912,0.284387,0.328103,0.056473,69.97,1.092781,270.85,"{""DO_NOTHING"": 12794, ""ENTER_BUY"": 538, ""ENTER_SELL"": 701}","{""DO_NOTHING"": 8014, ""ENTER_BUY"": 2997, ""ENTER_SELL"": 3022}",False
no_policy,0.50,2025Q2,14977,1452,0.096949,0.360882,0.559361,0.275148,0.103698,150.57,1.165412,204.04,"{""DO_NOTHING"": 13525, ""ENTER_BUY"": 438, ""ENTER_SELL"": 1014}","{""DO_NOTHING"": 6935, ""ENTER_BUY"": 4443, ""ENTER_SELL"": 3599}",False
no_policy,0.50,2025Q3,15034,1512,0.100572,0.314815,0.271845,0.325852,0.05957,90.07,1.097647,225.63,"{""DO_NOTHING"": 13522, ""ENTER_BUY"": 309, ""ENTER_SELL"": 1203}","{""DO_NOTHING"": 8829, ""ENTER_BUY"": 2783, ""ENTER_SELL"": 3422}",False
no_policy,0.50,2025Q4,14637,829,0.056637,0.311218,0.358696,0.305292,0.258239,214.08,1.534879,107.11,"{""DO_NOTHING"": 13808, ""ENTER_BUY"": 92, ""ENTER_SELL"": 737}","{""DO_NOTHING"": 10266, ""ENTER_BUY"": 2193, ""ENTER_SELL"": 2178}",False
no_policy,0.50,2026Q1,14016,1285,0.091681,0.366537,0.328125,0.373285,0.202677,260.44,1.357816,118.0,"{""DO_NOTHING"": 12731, ""ENTER_BUY"": 192, ""ENTER_SELL"": 1093}","{""DO_NOTHING"": 8447, ""ENTER_BUY"": 2498, ""ENTER_SELL"": 3071}",False
no_policy,0.50,2026Q2,2294,448,0.195292,0.129464,,0.129464,-0.512299,-229.51,0.361248,268.86,"{""DO_NOTHING"": 1846, ""ENTER_SELL"": 448}","{""DO_NOTHING"": 1283, ""ENTER_BUY"": 692, ""ENTER_SELL"": 319}",False
rich_policy_light,0.50,2024Q1,14657,845,0.057652,0.310059,0.234807,0.36646,0.213728,180.6,1.40894,118.65,"{""DO_NOTHING"": 13812, ""ENTER_BUY"": 362, ""ENTER_SELL"": 483}","{""DO_NOTHING"": 10616, ""ENTER_BUY"": 1838, ""ENTER_SELL"": 2203}",False
