feature,importance
categorical__regime_london|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_high,0.0003428078
categorical__regime_asia|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_mid_high,0.0003367868
categorical__regime_overlap|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_high,0.0003329463
categorical__regime_inactive|h4_range|d1_range|align_neutral|atr_normal|d1pos_mid_high,0.0003286954
categorical__regime_asia|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_mid_low,0.0003255264
categorical__regime_new_york|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_low,0.0003235848
categorical__regime_new_york|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_high,0.0003231197
categorical__regime_asia|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_mid_low,0.0003194952
categorical__regime_asia|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_mid_high,0.0003105818
categorical__regime_inactive|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_low,0.0003018156
categorical__regime_new_york|h4_range|d1_range|align_neutral|atr_extended|d1pos_mid_low,0.0002911985
categorical__regime_new_york|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_mid_low,0.0002909869
categorical__regime_asia|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_mid_low,0.0002904745
categorical__regime_overlap|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_mid_low,0.0002887705
categorical__regime_new_york|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_mid_low,0.0002756639
categorical__regime_london|h4_range|d1_range|align_neutral|atr_normal|d1pos_mid_high,0.000266887
categorical__regime_inactive|h4_range|d1_range|align_neutral|atr_extended|d1pos_high,0.0002610817
categorical__regime_london|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_mid_high,0.0002583432
categorical__regime_inactive|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_mid_low,0.0002503106
categorical__regime_inactive|h4_range|d1_range|align_neutral|atr_normal|d1pos_high,0.00024331
categorical__regime_asia|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_low,0.0002344173
categorical__regime_london|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_low,0.0002327399
categorical__regime_asia|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_mid_low,0.0002303303
categorical__regime_asia|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_low,0.0002280837
categorical__regime_london|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_mid_high,0.0002267199
categorical__regime_new_york|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_mid_high,0.0002262135
categorical__regime_london|h4_range|d1_range|align_neutral|atr_normal|d1pos_mid_low,0.0002243027
categorical__regime_london|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_mid_high,0.0002197347
categorical__regime_overlap|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_mid_low,0.0002193218
categorical__regime_new_york|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_low,0.0002160193
categorical__regime_overlap|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_low,0.0002158786
categorical__regime_new_york|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_mid_high,0.000212868
categorical__regime_new_york|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_high,0.0002126773
categorical__regime_london|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_mid_high,0.0002094124
categorical__regime_asia|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_mid_high,0.0001990046
categorical__regime_asia|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_high,0.0001971978
categorical__regime_new_york|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_high,0.000195621
categorical__regime_asia|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_mid_high,0.0001844243
categorical__regime_new_york|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_mid_low,0.000183788
categorical__regime_inactive|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_low,0.0001807997
